name,name:he,highway,lanes
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
הרב חזקיהו רבין,רבין,tertiary,2
דרך אריאל שרון,דרך אריאל שרון,trunk,3
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,3
דרך אריאל שרון,דרך אריאל שרון,trunk,2
דרך אריאל שרון,דרך אריאל שרון,trunk,2
הנשיא השישי,הנשיא השישי,tertiary,2
יצחק רבין,יצחק רבין,secondary,2
יואל זוסמן,יואל זוסמן,tertiary,2
בן צבי,בן צבי,secondary,2
יוסף בורג,יוסף בורג,tertiary,2
הרב שמואל ברוך,הרב שמואל ברוך,tertiary,2
הרב שמואל ברוך,הרב שמואל ברוך,tertiary,2
יוסף בורג,יוסף בורג,tertiary,3
יוסף בורג,יוסף בורג,tertiary,
יוסף בורג,יוסף בורג,tertiary,
היכל המשפט,היכל המשפט,tertiary,
יוסף בורג,יוסף בורג,tertiary,
דוד שאלתיאל,דוד שאלתיאל,tertiary,
יוסף בורג,יוסף בורג,tertiary,1
בן צבי,בן צבי,secondary,2
הרב שמואל ברוך,הרב שמואל ברוך,tertiary,2
היכל המשפט,היכל המשפט,tertiary,2
היכל המשפט,היכל המשפט,tertiary,2
היכל המשפט,היכל המשפט,tertiary,2
נתנאל לורך,נתנאל לורך,tertiary,2
הרב אברהם שפירא,הרב אברהם שפירא,tertiary,1
הרצל,הרצל,primary,2
נתנאל לורך,נתנאל לורך,tertiary,1
הנשיא השישי,הנשיא השישי,tertiary,2
הנשיא השישי,הנשיא השישי,tertiary,2
הנשיא השישי,הנשיא השישי,tertiary,2
הנשיא השישי,הנשיא השישי,tertiary,2
הנשיא השישי,הנשיא השישי,tertiary,2
יצחק רבין,יצחק רבין,secondary,3
יצחק רבין,יצחק רבין,secondary,2
הנשיא השישי,הנשיא השישי,tertiary,2
יצחק רבין,יצחק רבין,secondary,3
יוסף בורג,יוסף בורג,tertiary,1
נתנאל לורך,נתנאל לורך,tertiary,2
שדרות וולפסון,שדרות וולפסון,tertiary,1
הרצל,הרצל,primary,2
הרצל,הרצל,primary,2
קרית היובל,קרית היובל,secondary,2
הרצל,הרצל,primary,2
הרצל,הרצל,primary,4
הרצל,הרצל,primary,2
הרצל,הרצל,primary,2
יפה נוף,יפה נוף,primary,2
הרצל,הרצל,tertiary,2
הרצל,הרצל,tertiary,2
הרצל,הרצל,tertiary,2
יפה נוף,יפה נוף,primary,1
יפה נוף,יפה נוף,primary,4
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
מעגלות הרב פרדס,פרדס,tertiary,
מעגלות הרב פרדס,מעגלות הרב פרדס,tertiary,1
נווה יעקב,שדרות נווה יעקב,tertiary,2
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
שדרותמשה דיין,שדרות משה דיין,tertiary,1
מזל טלה,מזל טלה,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,1
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,1
חיל האוויר,חיל האוויר,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
השישה עשר,השישה עשר,tertiary,
השישה עשר,השישה עשר,tertiary,
השישה עשר,השישה עשר,tertiary,
השישה עשר,השישה עשר,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
השישה עשר,השישה עשר,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
עמיחי פאגלין,עמיחי פאגלין,secondary,3
שדרות משה דיין,שדרות משה דיין,tertiary,
סיירת דוכיפת,סיירת דוכיפת,secondary,3
משה דיין,משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,2
שדרות משה דיין,שדרות משה דיין,tertiary,2
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
משה דיין,משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,2
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
משה רחמילביץ',משה רחמילביץ',tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
שדרות משה דיין,שדרות משה דיין,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
מאיר גרשון,מאיר גרשון,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,2
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
אלוף יקותיאל אדם,אלוף יקותיאל אדם,tertiary,
בית חנינא,בית חנינא,tertiary,
שיירת עטרות,שיירת עטרות,tertiary,
בית חנינא,בית חנינא,tertiary,
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
משאריף,משאריף,tertiary,
שועפט,שועפט,tertiary,1
אל סהל,אל סהל,tertiary,2
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,1
שועפט,שועפט,tertiary,3
ששת הימים,ששת הימים,tertiary,3
שועפט,שועפט,tertiary,4
ששת הימים,ששת הימים,tertiary,
ששת הימים,ששת הימים,tertiary,3
ששת הימים,ששת הימים,tertiary,2
ששת הימים,ששת הימים,tertiary,3
אהרון שולוב,אהרון שולוב,tertiary,
אהרון שולוב,אהרון שולוב,tertiary,
אהרון שולוב,אהרון שולוב,tertiary,
דרך גן החיות,דרך גן החיות,secondary,2
חיים קוליץ,חיים קוליץ,secondary,2
דרך גן החיות,דרך גן החיות,secondary,2
דרך גן החיות,דרך גן החיות,secondary,2
דרך גן החיות,דרך גן החיות,secondary,2
אהרון שולוב,אהרון שולוב,tertiary,
אהרון שולוב,אהרון שולוב,tertiary,
דרך גן החיות,דרך גן החיות,secondary,2
אהרון שולוב,אהרון שולוב,tertiary,
חיים קוליץ,חיים קוליץ,secondary,2
מיכאל אבי יונה,מיכאל אבי יונה,tertiary,1
חכם יצחק עמדי,חכם יצחק עמדי,secondary,2
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,4
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,2
האלוף עוזי נרקיס,האלוף עוזי נרקיס,trunk,4
משה רחמילביץ',משה רחמילביץ',tertiary,
אביזוהר,אביזוהר,tertiary,
אביזוהר,אביזוהר,tertiary,
שיירת עטרות,שיירת עטרות,secondary,
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,2
אריה ורשבסקי,אריה ורשבסקי,tertiary,2
כביש המנהרות,כביש המנהרות,trunk,4
אסירי ציון,אסירי ציון,tertiary,2
צונדק,צונדק,tertiary,
צונדק,צונדק,tertiary,
הארי טרומן,הארי טרומן,tertiary,
הארי טרומן,הארי טרומן,tertiary,
הארי טרומן,הארי טרומן,tertiary,
הארי טרומן,הארי טרומן,tertiary,
"חזון אי""ש",חזון איש,tertiary,
"חזון אי""ש",חזון איש,tertiary,
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,
מעלה דרגה,מעלה דרגה,primary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,secondary,2
שדרות שמואל מאיר,שמואל מאיר,tertiary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,1
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,1
אריה ורשבסקי,אריה ורשבסקי,tertiary,2
אריה ורשבסקי,אריה ורשבסקי,tertiary,
מעלה דרגה,מעלה דרגה,primary,2
אל-משאהד,אל-משאהד,tertiary,1
אל-משאהד,אל-משאהד,tertiary,1
זרח ורהפטיג,זרח ורהפטיג,tertiary,
אל-משאהד,אל-משאהד,tertiary,1
אל-משאהד,אל-משאהד,tertiary,1
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,2
אריה ורשבסקי,אריה ורשבסקי,tertiary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,tertiary,1
חיים יסקי,חיים יסקי,tertiary,2
לוי אשכול,לוי אשכול,tertiary,3
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,1
ואדי אל-ג'וז,ואדי אל-ג'וז,secondary,1
שדרות שיירת הר הצופים,שדרות שיירת הר הצופים,tertiary,
שדרות צ'רצ'יל,שדרות צ'רצ'יל,tertiary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,2
חיל האוויר,חיל האוויר,tertiary,1
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,2
חיל האוויר,חיל האוויר,tertiary,
חיל האוויר,חיל האוויר,tertiary,1
גל,גל,tertiary,1
גל,גל,tertiary,1
חיל האוויר,חיל האוויר,tertiary,1
סיירת דוכיפת,סיירת דוכיפת,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
חיל האוויר,חיל האוויר,tertiary,1
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
גל,גל,tertiary,
סיירת דוכיפת,סיירת דוכיפת,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
עמיחי פאגלין,עמיחי פאגלין,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,2
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,3
סיירת דוכיפת,סיירת דוכיפת,secondary,3
גל,גל,tertiary,1
סיירת דוכיפת,סיירת דוכיפת,secondary,2
גל,גל,tertiary,1
גל,גל,tertiary,1
חיים קוליץ,חיים קוליץ,secondary,
פנמה,פנמה,tertiary,1
פנמה,פנמה,tertiary,1
קלמן יעקב מן,קלמן יעקב מן,primary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
קרית היובל,קרית היובל,secondary,1
קרית היובל,קרית היובל,secondary,1
קרית היובל,קרית היובל,secondary,2
ארתור הנטקה,ארתור הנטקה,secondary,1
הנרייטה סאלד,הנרייטה סאלד,secondary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,3
קלמן יעקב מן,קלמן יעקב מן,primary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
קלמן יעקב מן,קלמן יעקב מן,primary,2
קלמן יעקב מן,קלמן יעקב מן,primary,2
כיכר צ'יאונה סוגיהארה,כיכר צ'יאונה סוגיהארה,secondary,2
כיכר צ'יאונה סוגיהארה,כיכר צ'יאונה סוגיהארה,secondary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
הנרייטה סאלד,הנרייטה סאלד,secondary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,secondary,2
שדרות שמואל מאיר,שדרות שמואל מאיר,secondary,2
מעלה דרגה,מעלה דרגה,primary,2
מעלה דרגה,מעלה דרגה,primary,2
מקסיקו,מקסיקו,tertiary,2
מקסיקו,מקסיקו,tertiary,1
מקסיקו,מקסיקו,tertiary,2
מקסיקו,מקסיקו,tertiary,2
מקסיקו,מקסיקו,tertiary,2
החלמית,החלמית,tertiary,
פסח חברוני,פסח חברוני,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
פסח חברוני,פסח חברוני,tertiary,2
קרית היובל,קרית היובל,secondary,1
זנגוויל,זנגוויל,tertiary,
ארתור הנטקה,ארתור הנטקה,secondary,1
קרית היובל,קרית היובל,secondary,1
קרית היובל,קרית היובל,secondary,1
ארתור הנטקה,ארתור הנטקה,secondary,1
ארתור הנטקה,ארתור הנטקה,secondary,1
ארתור הנטקה,ארתור הנטקה,secondary,1
פסח חברוני,פסח חברוני,tertiary,1
הנרייטה סולד,הנרייטה סולד,secondary,2
פסח חברוני,פסח חברוני,tertiary,
מקסיקו,מקסיקו,tertiary,1
הנרייטה סולד,הנרייטה סולד,secondary,2
מקסיקו,מקסיקו,tertiary,1
דרך כרמית,דרך כרמית,tertiary,2
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,2
דרך כרמית,דרך כרמית,tertiary,1
דרך כרמית,דרך כרמית,tertiary,2
חיים קוליץ,חיים קוליץ,secondary,2
טהון,טהון,secondary,1
טהון,טהון,secondary,1
גולומב,גולומב,secondary,2
גולומב,גולומב,secondary,2
דב בר בורוכוב,דב בר בורוכוב,tertiary,2
טהון,טהון,secondary,1
אורוגואי,אורוגואי,tertiary,
טהון,טהון,secondary,1
טהון,טהון,secondary,2
טהון,טהון,secondary,1
אורוגואי,אורוגואי,tertiary,
גולומב,גולומב,secondary,2
בוליביה,בוליביה,tertiary,
גולומב,גולומב,secondary,2
גולומב,גולומב,secondary,3
גולומב,גולומב,secondary,2
משה שרת,משה שרת,secondary,2
גולומב,גולומב,secondary,2
דרך גן החיות,דרך גן החיות,secondary,2
גולומב,גולומב,secondary,3
גולומב,גולומב,secondary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,3
גולומב,גולומב,secondary,5
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,
גולומב,גולומב,secondary,3
גולומב,גולומב,secondary,5
ירמיהו,ירמיהו,tertiary,2
"המ""ג","המ""ג",tertiary,2
"המ""ג","המ""ג",tertiary,1
"המ""ג","המ""ג",tertiary,2
הרב דרוק,הרב דרוק,tertiary,1
הרב דרוק,הרב דרוק,tertiary,1
הרב דרוק,הרב דרוק,tertiary,1
דרוק הרב,דרוק הרב,tertiary,2
יגאל ידין,יגאל ידין,trunk,3
יצחק שמיר,יצחק שמיר,trunk,2
יצחק שמיר,יצחק שמיר,trunk,2
יגאל ידין,יגאל ידין,trunk,2
הרב דרוק,הרב דרוק,tertiary,2
הרב דרוק,הרב דרוק,tertiary,2
יגאל ידין,יגאל ידין,trunk,3
יגאל ידין,יגאל ידין,trunk,3
"זלמן שז""ר","זלמן שז""ר",secondary,2
מנהרת סילברסטיין,מנהרת סילברסטיין,secondary,2
"זלמן שז""ר","זלמן שז""ר",secondary,2
"זלמן שז""ר","זלמן שז""ר",secondary,2
"זלמן שז""ר","זלמן שז""ר",tertiary,1
"זלמן שז""ר","זלמן שז""ר",tertiary,2
"זלמן שז""ר","זלמן שז""ר",tertiary,2
"לח""י","לח""י",tertiary,1
כביש תל אביב ירושלים,כביש תל אביב ירושלים,trunk,4
בן צבי,בן צבי,secondary,4
בן צבי,בן צבי,secondary,2
לוי אשכול,לוי אשכול,tertiary,2
לוחמי הגטאות,לוחמי הגטאות,tertiary,1
דרך הר הזיתים,דרך הר הזיתים,tertiary,
דרך הר הזיתים,דרך הר הזיתים,tertiary,
דרך הר הזיתים,דרך הר הזיתים,tertiary,2
שכם,שכם,tertiary,
שכם,שכם,tertiary,
דרך הר הזיתים,דרך הר הזיתים,tertiary,
Al-Nashashibi Street,רחוב אל-נששיבי,tertiary,1
סיירת חיגה,סיירת חיגה,tertiary,
טאריק אל מדרס,טאריק אל מדרס,tertiary,
אחמד עלי,אחמד עלי,tertiary,
כביש המנהרות,כביש המנהרות,trunk,
כביש המנהרות,כביש המנהרות,trunk,
הרוזמרין,הרוזמרין,secondary,2
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,3
מעלה דרגה,מעלה דרגה,primary,2
מעלה דרגה,מעלה דרגה,primary,2
מעלה דרגה,מעלה דרגה,primary,2
מעלה דרגה,מעלה דרגה,primary,2
משה ברעם,משה ברעם,secondary,2
משה ברעם,משה ברעם,secondary,2
בן יהודה,בן יהודה,tertiary,2
שמואל הנגיד,שמואל הנגיד,tertiary,2
שמואל הנגיד,שמואל הנגיד,tertiary,1
בן יהודה,בן יהודה,tertiary,2
בצלאל,בצלאל,tertiary,2
אוסישקין,אוסישקין,tertiary,
אוסישקין,אוסישקין,tertiary,
יוסף וייץ,יוסף וייץ,tertiary,1
יוסף וייץ,יוסף וייץ,secondary,2
ראמאללה,ראמאללה,trunk,2
שדרות ויצמן,שדרות ויצמן,primary,2
"זלמן שז""ר","זלמן שז""ר",secondary,2
שדרות ויצמן,שדרות ויצמן,primary,6
שדרות ויצמן,שדרות ויצמן,primary,4
מנהרת סילברסטיין,מנהרת סילברסטיין,secondary,2
ירמיהו,ירמיהו,tertiary,3
"המ""ג","המ""ג",tertiary,1
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,4
"המ""ג","המ""ג",tertiary,1
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,3
שדרות ויצמן,שדרות ויצמן,primary,3
ירמיהו,ירמיהו,tertiary,3
שדרות ויצמן,שדרות ויצמן,primary,3
ירמיהו,ירמיהו,tertiary,3
ירמיהו,ירמיהו,tertiary,4
גולדה מאיר,גולדה מאיר,primary,3
גולדה מאיר,גולדה מאיר,secondary,3
גולדה מאיר,גולדה מאיר,secondary,3
פינס,פינס,tertiary,2
זלמן שניאור,זלמן שניאור,tertiary,2
הרב הרצוג,הרב הרצוג,secondary,3
זלמן שניאור,זלמן שניאור,tertiary,
הרב הרצוג,הרב הרצוג,secondary,3
זלמן שניאור,זלמן שניאור,tertiary,
הרב הרצוג,הרב הרצוג,secondary,2
חיים הזז,חיים הזז,secondary,2
הרב הרצוג,הרב הרצוג,secondary,3
הרב הרצוג,הרב הרצוג,secondary,3
חיים הזז,חיים הזז,secondary,
הרב הרצוג,הרב הרצוג,secondary,
הרב הרצוג,הרב הרצוג,tertiary,1
חיים הזז,חיים הזז,secondary,2
חיים הזז,חיים הזז,secondary,
הרב הרצוג,הרב הרצוג,tertiary,2
דרך עזה,עזה,tertiary,2
הרב הרצוג,הרב הרצוג,tertiary,2
יהודה הנשיא,יהודה הנשיא,tertiary,2
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,2
הגננת,הגננת,tertiary,2
אונטרמן,אונטרמן,tertiary,2
דב יוסף,דב יוסף,secondary,2
שבתאי הנגבי,שבתאי הנגבי,tertiary,
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,2
"אגודת ספורט בית""ר","אגודת ספורט בית""ר",secondary,2
קרית מדע,קרית מדע,tertiary,1
גולדה מאיר,גולדה מאיר,secondary,2
גולדה מאיר,גולדה מאיר,secondary,3
קרית מדע,קרית מדע,tertiary,2
גולדה מאיר,גולדה מאיר,secondary,2
גולדה מאיר,גולדה מאיר,secondary,2
גולדה מאיר,גולדה מאיר,secondary,2
אשר וינר,אשר וינר,secondary,2
מנהרת אשר וינר,מנהרת אשר וינר,secondary,2
אשר וינר,אשר וינר,secondary,3
מנהרת אשר וינר,מנהרת אשר וינר,secondary,2
אשר וינר,אשר וינר,secondary,2
אשר וינר,אשר וינר,secondary,2
גולומב,גולומב,secondary,3
גולומב,גולומב,secondary,3
דב יוסף,דב יוסף,secondary,2
דב יוסף,דב יוסף,secondary,2
יעקב פת,יעקב פת,secondary,2
יעקב פת,יעקב פת,secondary,2
עמיחי פאגלין,עמיחי פאגלין,secondary,3
עמיחי פאגלין,עמיחי פאגלין,secondary,3
מאיר גרוסמן,מאיר גרוסמן,tertiary,
צ'ילה,צ'ילה,tertiary,
צ'ילה,צ'ילה,tertiary,
מאיר גרוסמן,מאיר גרוסמן,tertiary,
מאיר גרוסמן,מאיר גרוסמן,tertiary,
נאהורי,הרב רחמים נאהורי,tertiary,
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
נווה יעקב,שדרות נווה יעקב,tertiary,1
שדרות נווה יעקב,שדרות נווה יעקב,tertiary,1
גולדה מאיר,גולדה מאיר,secondary,2
"המשורר אצ""ג","המשורר אצ""ג",tertiary,1
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
"המשורר אצ""ג","המשורר אצ""ג",tertiary,1
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
רקנאטי,רקנאטי,tertiary,2
רקנאטי,רקנאטי,tertiary,1
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
רקנאטי,רקנאטי,tertiary,1
גולדה מאיר,שדרות גולדה מאיר,primary,3
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,3
רקנאטי,רקנאטי,tertiary,1
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
שדרות גולדה מאיר,שדרות גולדה מאיר,primary,2
דוד המלך,דוד המלך,tertiary,2
יוסי בן יועזר,יוסי בן יועזר,tertiary,
יצחק שמיר,יצחק שמיר,trunk,2
יצחק אלחנן,יצחק אלחנן,tertiary,
שלום עליכם,שלום עליכם,tertiary,2
משה רחמילביץ,משה רחמילביץ,tertiary,
משה רחמילביץ,משה רחמילביץ,tertiary,
גולומב,גולומב,secondary,2
גולומב,גולומב,secondary,2
גולומב,גולומב,secondary,2
"שח""ל","שח""ל",tertiary,1
הרב הרצוג,הרב הרצוג,secondary,3
גולומב,גולומב,secondary,2
"שח""ל","שח""ל",tertiary,1
"שח""ל","שח""ל",tertiary,1
"שח""ל","שח""ל",tertiary,1
החורש,החורש,tertiary,1
החורש,החורש,tertiary,2
צונדק,צונדק,tertiary,1
רקנאטי,רקנאטי,tertiary,2
רקנאטי,רקנאטי,tertiary,1
צונדק,צונדק,tertiary,2
המרגלית,המרגלית,tertiary,1
המרגלית,המרגלית,tertiary,1
המרגלית,המרגלית,tertiary,1
המרגלית,המרגלית,tertiary,2
شارع القدس,,secondary,
לייב יפה,לייב יפה,tertiary,
שלום עליכם,שלום עליכם,tertiary,2
שלום עליכם,שלום עליכם,tertiary,2
יצחק מודעי,יצחק מודעי,tertiary,2
יצחק מודעי,יצחק מודעי,tertiary,2
יצחק מודעי,יצחק מודעי,tertiary,2
יצחק מודעי,יצחק מודעי,tertiary,1
כביש ירושלים תל אביב,כביש ירושלים תל אביב,trunk,4
כביש ירושלים תל אביב,כביש ירושלים תל אביב,trunk,3
כביש ירושלים תל אביב,כביש ירושלים תל אביב,trunk,3
חכם יצחק עמדי,חכם יצחק עמדי,secondary,2
דוד בן-גוריון,דוד בן-גוריון,primary,3
חברון,חברון,trunk,3
הצנחנים,הצנחנים,trunk,1
חברון,חברון,trunk,2
חיל ההנדסה,חיל ההנדסה,trunk,2
אהרון קציר,אהרון קציר,tertiary,2
קלרמון-גנו,קלרמון-גנו,tertiary,2
גבעת שאול,גבעת שאול,tertiary,2
ירמיהו,ירמיהו,tertiary,1
ירמיהו,ירמיהו,tertiary,2
יפה רום,יפה רום,tertiary,1
לשם,לשם,tertiary,1
צביה ויצחק,צביה ויצחק,tertiary,1
המרגלית,המרגלית,tertiary,2
המרגלית,המרגלית,tertiary,2
המרגלית,המרגלית,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,1
ברנדייס,ברנדייס,tertiary,3
מלכי ישראל,מלכי ישראל,tertiary,1
מלכי ישראל,מלכי ישראל,tertiary,1
מלכי ישראל,מלכי ישראל,tertiary,1
הנביאים,הנביאים,tertiary,2
הצנחנים,הצנחנים,trunk,1
סולטן סולימאן,סולטן סולימאן,tertiary,1
יריחו,יריחו,secondary,2
יריחו,יריחו,secondary,2
מעלה השלום,מעלה השלום,tertiary,
יצחק קריב,יצחק קריב,tertiary,3
שלמה המלך,שלמה המלך,tertiary,2
פינס,פינס,tertiary,
ישעיהו,ישעיהו,tertiary,2
צפניה,צפניה,tertiary,
עזרא,עזרא,tertiary,
ישעיהו,ישעיהו,tertiary,1
אגריפס,אגריפס,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,1
מלכי ישראל,מלכי ישראל,tertiary,2
מלכי ישראל,מלכי ישראל,tertiary,1
תחכמוני,תחכמוני,tertiary,
מלכי ישראל,מלכי ישראל,tertiary,1
מלכי ישראל,מלכי ישראל,tertiary,1
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,1
שבטי ישראל,שבטי ישראל,tertiary,2
הנביאים,הנביאים,tertiary,1
הנביאים,הנביאים,tertiary,2
הנביאים,הנביאים,tertiary,2
כיכר המשקפיים,כיכר המשקפיים,secondary,1
סולטן סולימאן,סולטן סולימאן,tertiary,1
סולטן סולימאן,סולטן סולימאן,tertiary,2
הצנחנים,הצנחנים,tertiary,1
יצחק רבין,יצחק רבין,secondary,3
